source,target,generes
KAROL G,Cazzu,"['argentine hip hop', 'rap latina', 'reggaeton', 'trap argentino', 'trap latino', 'urbano latino']"
KAROL G,Anuel AA,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']"
KAROL G,Sech,"['panamanian pop', 'reggaeton', 'trap latino', 'urbano latino']"
KAROL G,Piso 21,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
KAROL G,Farruko,"['reggaeton', 'trap latino', 'urbano latino']"
KAROL G,Romeo Santos,"['bachata', 'latin hip hop', 'latin pop', 'urbano latino']"
KAROL G,Bad Bunny,"['reggaeton', 'trap latino', 'urbano latino']"
KAROL G,Nicky Jam,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
Rosalia,Quevedo,"['rap canario', 'trap latino', 'urbano latino']"
Quevedo,Saiko,"['trap latino', 'urbano espanol', 'urbano latino']"
Quevedo,Mora,"['trap latino', 'urbano latino']"
Quevedo,Myke Towers,"['reggaeton', 'trap latino', 'urbano latino']"
Quevedo,Jhayco,"['reggaeton', 'trap latino', 'urbano latino']"
Quevedo,Feid,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Quevedo,Eladio Carrion,"['trap boricua', 'trap latino', 'trap triste', 'urbano latino']"
Quevedo,Duki,"['argentine hip hop', 'trap argentino', 'trap latino', 'trap triste', 'urbano latino']"
Quevedo,Bizarrap,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']"
Quevedo,Rvfv,"['drill espanol', 'flamenco urbano', 'urbano espanol', 'urbano latino']"
Quevedo,Tiago PZK,"['trap argentino', 'trap latino', 'urbano latino']"
Quevedo,Milo j,"['trap argentino', 'trap latino', 'urbano latino']"
Quevedo,JC Reyes,['urbano espanol']
Quevedo,Dei V,"['trap latino', 'urbano latino']"
Quevedo,Omar Montes,"['flamenco urbano', 'pop flamenco', 'urbano espanol']"
Quevedo,Young Miko,"['trap latino', 'urbano latino']"
Quevedo,Emilia,['pop argentino']
Quevedo,DELLAFUENTE,"['flamenco urbano', 'urbano espanol']"
Quevedo,Rauw Alejandro,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']"
Quevedo,Tainy,"['pop reggaeton', 'reggaeton', 'trap latino', 'urbano latino']"
Quevedo,Nicki Nicole,"['argentine hip hop', 'r&b argentino', 'trap argentino', 'trap latino', 'urbano latino']"
Rosalia,Nicki Nicole,"['argentine hip hop', 'r&b argentino', 'trap argentino', 'trap latino', 'urbano latino']"
Nicki Nicole,Tiago PZK,"['trap argentino', 'trap latino', 'urbano latino']"
Nicki Nicole,Emilia,['pop argentino']
Nicki Nicole,LIT killah,"['argentine hip hop', 'trap argentino', 'trap latino', 'trap triste', 'urbano latino']"
Nicki Nicole,Rusherking,"['trap argentino', 'trap triste']"
Nicki Nicole,Trueno,"['argentine hip hop', 'bases de freestyle', 'trap argentino', 'trap latino', 'urbano latino']"
Nicki Nicole,Maria Becerra,['pop argentino']
Nicki Nicole,KHEA,"['argentine hip hop', 'trap argentino', 'trap latino', 'trap triste', 'urbano latino']"
Nicki Nicole,Cazzu,"['argentine hip hop', 'rap latina', 'reggaeton', 'trap argentino', 'trap latino', 'urbano latino']"
Nicki Nicole,FMK,"['trap argentino', 'trap triste']"
Nicki Nicole,Duki,"['argentine hip hop', 'trap argentino', 'trap latino', 'trap triste', 'urbano latino']"
Nicki Nicole,Milo j,"['trap argentino', 'trap latino', 'urbano latino']"
Nicki Nicole,YSY A,"['argentine hip hop', 'trap argentino']"
Nicki Nicole,WOS,"['argentine indie', 'trap argentino']"
Nicki Nicole,La Joaqui,"['argentine hip hop', 'rap latina']"
Nicki Nicole,Bhavi,"['argentine hip hop', 'trap argentino', 'trap triste']"
Nicki Nicole,Young Miko,"['trap latino', 'urbano latino']"
Nicki Nicole,TINI,"['latin pop', 'latin viral pop', 'pop argentino']"
Nicki Nicole,Rei,['trap argentino']
Nicki Nicole,Bizarrap,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']"
Nicki Nicole,Lali,"['argentine telepop', 'pop argentino']"
Rosalia,Danna Paola,"['latin pop', 'latin viral pop', 'mexican pop']"
Danna Paola,Paty Cantú,"['cantautora mexicana', 'latin arena pop', 'latin pop', 'mexican pop']"
Danna Paola,Belinda,"['latin arena pop', 'latin pop', 'mexican pop']"
Danna Paola,Lele Pons,"['latin pop', 'latin viral pop', 'viral pop']"
Danna Paola,Sofía Reyes,"['latin pop', 'latin viral pop', 'mexican pop', 'reggaeton']"
Danna Paola,Ha*Ash,"['latin arena pop', 'latin pop', 'mexican pop']"
Danna Paola,María José,"['latin pop', 'mexican pop']"
Danna Paola,Fanny Lu,"['colombian pop', 'latin pop', 'reggaeton']"
Danna Paola,Paulina Goto,"['latin viral pop', 'mexican pop']"
Danna Paola,Jesse & Joy,"['latin arena pop', 'latin pop', 'mexican pop']"
Danna Paola,NATTI NATASHA,"['latin pop', 'rap latina', 'reggaeton', 'urbano latino']"
Danna Paola,Playa Limbo,"['latin arena pop', 'latin pop', 'mexican pop']"
Danna Paola,Becky G,"['latin pop', 'latin viral pop', 'rap latina', 'reggaeton', 'trap latino', 'urbano latino']"
Danna Paola,Río Roma,"['latin arena pop', 'latin pop', 'latin viral pop', 'mexican pop']"
Danna Paola,Yuridia,"['latin arena pop', 'latin pop', 'mexican pop']"
Danna Paola,Reik,"['latin arena pop', 'latin pop', 'mexican pop', 'reggaeton', 'urbano latino']"
Danna Paola,Maite Perroni,"['latin pop', 'latin viral pop', 'mexican pop']"
Danna Paola,Mau y Ricky,"['latin pop', 'pop venezolano', 'reggaeton', 'urbano latino']"
Danna Paola,Thalia,"['latin pop', 'mexican pop']"
Danna Paola,Eiza,['argentine telepop']
Danna Paola,Greeicy,"['colombian pop', 'latin pop', 'r&b en espanol', 'reggaeton', 'reggaeton colombiano', 'urbano latino']"
