N.º	País	Intérprete(s)	Canción	Lugar	Puntos	#	Pts.	Intérprete
19.0	Chipre	Hovig	«Gravity»	21	68.0			
20.0	Rumania	Ilinca & Alex Florea	«Yodel It!»	7	282.0			
21.0	Alemania	Levina	«Perfect Life»	25	6.0			
22.0	Ucrania	O.Torvald	«Time»	24	36.0			
23.0	Bélgica	Blanche	«City Lights»	4	363.0			
24.0	Suecia	Robin Bengtsson	«I Can't Go On»	5	344.0			
25.0	Bulgaria	Kristian Kostov	«Beautiful Mess»	2	615.0			
26.0	Francia	Alma	«Requiem»	12	135.0			
1.0	Ucrania	Mélovin	«Under the Ladder»	17	130.0			
2.0	España	Amaia y Alfred	«Tu canción»	23	61.0			
3.0	Eslovenia	Lea Sirk	«Hvala, ne!»	22	64.0			
4.0	Lituania	Ieva Zasimauskaitė	«When We're Old»	12	181.0			
5.0	Austria	Cesár Sampson	«Nobody but You»	3	342.0			
6.0	Estonia	Elina Nechayeva	«La forza»	8	245.0			
7.0	Noruega	Alexander Rybak	«That's How You Write a Song»	15	144.0			
8.0	Portugal	Cláudia Pascoal	«O Jardim»	26	39.0			
9.0	Reino Unido	SuRie	«Storm»	24	48.0			
10.0	Serbia	Sanja Ilić & Balkanika	«Nova Deca»	19	113.0			
11.0	Alemania	Michael Schulte	«You Let Me Walk Alone»	4	340.0			
12.0	Albania	Eugent Bushpepa	«Mall»	11	184.0			
13.0	Francia	Madame Monsieur	«Mercy»	13	173.0			
14.0	República Checa	Mikolas Josef	«Lie to Me»	6	281.0			
15.0	Dinamarca	Rasmussen	«Higher Ground»	9	226.0			
16.0	Australia	Jessica Mauboy	«We Got Love»	20	99.0			
17.0	Finlandia	Saara Aalto	«Monsters»	25	46.0			
18.0	Bulgaria	Equinox	«Bones»	14	166.0			
19.0	Moldavia	DoReDos	«My Lucky Day»	10	209.0			
20.0	Suecia	Benjamin Ingrosso	«Dance You Off»	7	274.0			
21.0	Hungría	AWS	«Viszlát nyár»	21	93.0			
22.0	Israel	Netta	«Toy»	1	529.0			
23.0	Países Bajos	Waylon	«Outlaw In 'Em»	18	121.0			
24.0	Irlanda	Ryan O'Shaughnessy	«Together»	16	136.0			
25.0	Chipre	Eleni Foureira	«Fuego»	2	436.0			
26.0	Italia	Ermal Meta & Fabrizio Moro	«Non mi avete fatto niente»	5	308.0			
1.0	Malta	Michela	«Chameleon»	14	107.0			
2.0	Albania	Jonida Maliqi	«Ktheju tokës»	17	90.0			
3.0	República Checa	Lake Malawi	«Friend of a Friend»	11	157.0			
4.0	Alemania	S!sters	«Sister»	25	24.0			
5.0	Rusia	Sergey Lazarev	«Scream»	3	370.0			
6.0	Dinamarca	Leonora	«Love is Forever»	12	120.0			
7.0	San Marino	Serhat	«Say Na Na Na»	19	77.0			
8.0	Macedonia del Norte	Tamara Todevska	«Proud»	7	305.0			
9.0	Suecia	John Lundvik	«Too Late for Love»	6	332.0			
10.0	Eslovenia	Zala Kralj & Gašper Šantl	«Sebi»	15	105.0			
11.0	Chipre	Tamta	«Replay»	13	109.0			
12.0	Países Bajos	Duncan Laurence	«Arcade»	1	498.0			
13.0	Grecia	Katerine Duska	«Better Love»	21	74.0			
14.0	Israel	Kobi Marimi	«Home»	23	35.0			
15.0	Noruega	KEiiNO	«Spirit in the Sky»	5	338.0			
16.0	Reino Unido	Michael Rice	«Bigger than Us»	26	11.0			
17.0	Islandia	Hatari	«Hatrið mun sigra»	10	232.0			
18.0	Estonia	Victor Crone	«Storm»	20	76.0			
19.0	Bielorrusia	Zena	«Like It»	24	31.0			
20.0	Azerbaiyán	Chingiz	«Truth»	8	302.0			
21.0	Francia	Bilal Hassani	«Roi»	16	105.0			
22.0	Italia	Mahmood	«Soldi»	2	472.0			
23.0	Serbia	Nevena Božović	«Kruna»	18	89.0			
24.0	Suiza	Luca Hänni	«She Got Me»	4	364.0			
25.0	Australia	Kate Miller-Heidke	«Zero Gravity»	9	284.0			
26.0	España	Miki	«La venda»	22	54.0			
1.0	Chipre	Elena Tsagrinou	«El Diablo»	16	94.0			
2.0	Albania	Anxhela Peristeri	«Karma»	21	57.0			
3.0	Israel	Eden Alene	«Set Me Free»	17	93.0			
4.0	Bélgica	Hooverphonic	«The Wrong Place»	19	74.0			
5.0	Rusia	Manizha	«Russian Woman»	9	204.0			
6.0	Malta	Destiny Chukunyere	«Je Me Casse»	7	255.0			
7.0	Portugal	The Black Mamba	«Love is on my Side»	12	153.0			
8.0	Serbia	Hurricane	«Loco Loco»	15	102.0			
9.0	Reino Unido	James Newman	«Embers»	26	0.0			
10.0	Grecia	Stefania Liberakakis	«Last Dance»	10	170.0			
11.0	Suiza	Gjon's Tears	«Tout l'Univers»	3	432.0			
12.0	Islandia	Daði & Gagnamagnið	«10 Years»	4	378.0			
13.0	España	Blas Cantó	«Voy a quedarme»	24	6.0			
14.0	Moldavia	Natalia Gordienko	«Sugar»	13	115.0			
15.0	Alemania	Jendrik Sigwart	«I Don’t Feel Hate»	25	3.0			
16.0	Finlandia	Blind Channel	«Dark Side»	6	301.0			
17.0	Bulgaria	Victoria Georgieva	«Growing Up Is Getting Old»	11	170.0			
18.0	Lituania	The Roop	«Discoteque»	8	220.0			
19.0	Ucrania	Go_A	«Shum»	5	364.0			
20.0	Francia	Barbara Pravi	«Voilà»	2	499.0			
21.0	Azerbaiyán	Samira Efendi	«Mata Hari»	20	65.0			
22.0	Noruega	Tix	«Fallen Angel»	18	75.0			
23.0	Países Bajos	Jeangu Macrooy	«Birth of a New Age»	23	11.0			
24.0	Italia	Måneskin	«Zitti e buoni»	1	524.0			
25.0	Suecia	Tusse	«Voices»	14	110.0			
26.0	San Marino	Senhit	«Adrenalina»	22	50.0			
1.0	República Checa	We Are Domi	«Lights Off»	22	38.0			
2.0	Rumania	WRS	«Llámame»	18	65.0			
3.0	Portugal	Maro	«Saudade, Saudade»	9	207.0			
4.0	Finlandia	The Rasmus	«Jezebel»	21	38.0			
5.0	Suiza	Marius Bear	«Boys Do Cry»	17	78.0			
6.0	Francia	Alvan & Ahez	«Fulenn»	24	17.0			
7.0	Noruega	Subwoolfer	«Give That Wolf A Banana»	10	182.0			
8.0	Armenia	Rosa Linn	«Snap»	20	61.0			
9.0	Italia	Mahmood & Blanco	«Brividi»	6	268.0			
10.0	España	Chanel	«SloMo»	3	459.0			
11.0	Países Bajos	S10	«De Diepte»	11	171.0			
12.0	Ucrania	Kalush Orchestra	«Stefania»	1	631.0			
13.0	Alemania	Malik Harris	«Rockstars»	25	6.0			
14.0	Lituania	Monika Liu	«Sentimentai»	14	128.0			
15.0	Azerbaiyán	Nadir Rüstəmli	«Fade To Black»	16	106.0			
16.0	Bélgica	Jérémie Makiese	«Miss you»	19	64.0			
17.0	Grecia	Amanda Georgiadi Tenfjord	«Die together»	8	215.0			
18.0	Islandia	Systur	«Með hækkandi sól»	23	20.0			
19.0	Moldavia	Zdob și Zdub & Frații Advahov	«Trenulețul»	7	253.0			
20.0	Suecia	Cornelia Jakobs	«Hold Me Closer»	4	438.0			
21.0	Australia	Sheldon Riley	«Not the Same»	15	125.0			
22.0	Reino Unido	Sam Ryder	«Space Man»	2	466.0			
23.0	Polonia	Ochman	«River»	12	151.0			
24.0	Serbia	Konstrakta	«In Corpore Sano»	5	312.0			
25.0	Estonia	Stefan	«Hope»	13	141.0			
1.0	Austria	Teya & Salena	«Who the Hell Is Edgar?»	15	120.0			
2.0	Portugal	Mimicat	«Ai Coração»	23	59.0			
3.0	Suiza	Remo Forrer	«Watergun»	20	92.0			
4.0	Polonia	Blanka	«Solo»	19	93.0			
5.0	Serbia	Luke Black	«Samo mi se spava»	24	30.0			
6.0	Francia	La Zarra	«Évidemment»	16	104.0			
7.0	Chipre	Andrew Lambrou	«Break a Broken Heart»	12	126.0			
8.0	España	Blanca Paloma	«Eaea»	17	100.0			
9.0	Suecia	Loreen	«Tattoo»	1	583.0			
10.0	Albania	Albina & Familja Kelmendi	«Duje»	22	76.0			
11.0	Italia	Marco Mengoni	«Due Vite»	4	350.0			
12.0	Estonia	Alika	«Bridges»	8	168.0			
13.0	Finlandia	Käärijä	«Cha Cha Cha»	2	526.0			
14.0	Chequia	Vesna	«My Sister's Crown»	10	129.0			
15.0	Australia	Voyager	«Promise»	9	151.0			
16.0	Bélgica	Gustaph	«Because of You»	7	182.0			
17.0	Armenia	Brunette	«Future Lover»	14	122.0			
18.0	Moldavia	Pasha Parfeni	«Soarele şi Luna»	18	96.0			
19.0	Ucrania	Tvorchi	«Heart of Steel»	6	243.0			
20.0	Noruega	Alessandra	«Queen of Kings»	5	268.0			
21.0	Alemania	Lord of the Lost	«Blood & Glitter»	26	18.0			
22.0	Lituania	Monika Linkytė	«Stay»	11	127.0			
23.0	Israel	Noa Kirel	«Unicorn»	3	362.0			
24.0	Eslovenia	Joker Out	«Carpe Diem»	21	78.0			
25.0	Croacia	Let 3	«Mama ŠČ!»	13	123.0			
26.0	Reino Unido	Mae Muller	«I Wrote a Song»	25	24.0			
